                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.41445,                0.19075,                  0.844,                0.98972,                0.99534,                 0.9937,                0.89043,                0.56888,                0.21287,                0.92687,              0.0003961,              0.0003961,              0.0003961
                     63,                0.42012,                 0.1947,                0.84374,                0.99151,                0.99366,                0.99387,                0.89247,                0.56417,                0.21073,                0.92201,              0.0003862,              0.0003862,              0.0003862
                     64,                0.41252,                0.19074,                0.84177,                0.99002,                0.99469,                 0.9938,                0.89042,                0.56777,                0.21183,                0.93055,              0.0003763,              0.0003763,              0.0003763
                     65,                0.41486,                0.19151,                 0.8419,                0.98949,                0.99301,                0.99395,                0.89347,                 0.5635,                0.21068,                0.93352,              0.0003664,              0.0003664,              0.0003664
                     66,                0.41244,                0.19001,                 0.8449,                0.99111,                0.99362,                0.99392,                 0.8937,                 0.5649,                0.21261,                0.92564,              0.0003565,              0.0003565,              0.0003565
                     67,                0.41142,                0.19133,                0.84016,                 0.9898,                0.99453,                0.99394,                0.89047,                0.57169,                0.21222,                 0.9317,              0.0003466,              0.0003466,              0.0003466
                     68,                0.40731,                0.18785,                0.84185,                0.99011,                0.99331,                0.99404,                0.89067,                0.56735,                0.21091,                0.93586,              0.0003367,              0.0003367,              0.0003367
                     69,                0.40696,                0.18877,                0.84121,                0.98852,                0.99442,                0.99383,                 0.8922,                0.56645,                0.21117,                0.93594,              0.0003268,              0.0003268,              0.0003268
                     70,                0.40592,                0.18892,                0.84533,                0.98882,                0.99498,                0.99383,                0.89217,                  0.564,                0.21033,                0.93849,              0.0003169,              0.0003169,              0.0003169
                     71,                0.40616,                0.19075,                0.84351,                 0.9888,                0.99422,                0.99383,                0.89001,                0.57065,                0.21092,                0.93883,               0.000307,               0.000307,               0.000307
                     72,                0.40179,                0.18661,                0.83989,                0.98951,                0.99301,                  0.994,                0.89139,                0.56638,                0.20723,                0.93434,              0.0002971,              0.0002971,              0.0002971
                     73,                0.39507,                0.18198,                0.83851,                0.98914,                0.99483,                0.99396,                0.89329,                0.56496,                0.20975,                0.93426,              0.0002872,              0.0002872,              0.0002872
                     74,                0.39534,                0.18556,                0.83838,                 0.9903,                0.99514,                0.99399,                0.89117,                0.56912,                0.20812,                0.93832,              0.0002773,              0.0002773,              0.0002773
                     75,                0.39419,                0.18356,                0.83783,                0.98883,                0.99532,                0.99411,                0.89325,                0.56714,                0.20819,                 0.9334,              0.0002674,              0.0002674,              0.0002674
                     76,                0.40275,                0.18751,                0.84114,                0.98942,                 0.9945,                 0.9939,                0.89318,                 0.5643,                0.20855,                0.93457,              0.0002575,              0.0002575,              0.0002575
                     77,                0.39808,                0.18604,                0.83713,                0.99172,                0.99392,                0.99386,                0.89171,                0.56789,                0.20798,                0.93471,              0.0002476,              0.0002476,              0.0002476
                     78,                0.38282,                0.17729,                0.83425,                0.99127,                0.99392,                0.99379,                0.89267,                 0.5653,                0.20717,                0.93145,              0.0002377,              0.0002377,              0.0002377
                     79,                0.39169,                0.18298,                0.83471,                0.99093,                0.99617,                0.99395,                0.89392,                0.56352,                0.20579,                 0.9241,              0.0002278,              0.0002278,              0.0002278
                     80,                0.39063,                0.18077,                0.83412,                0.99122,                0.99462,                0.99399,                0.89346,                0.56694,                0.20695,                0.91704,              0.0002179,              0.0002179,              0.0002179
                     81,                0.38687,                0.17963,                0.82987,                0.99107,                0.99483,                0.99399,                 0.8924,                0.56974,                0.20961,                0.91373,               0.000208,               0.000208,               0.000208
                     82,                0.38518,                0.18114,                0.82759,                0.98997,                0.99483,                0.99382,                0.89284,                0.56779,                0.21053,                0.91191,              0.0001981,              0.0001981,              0.0001981
                     83,                 0.3786,                0.17489,                0.82781,                0.99101,                0.99362,                0.99381,                0.89274,                0.56631,                0.20772,                0.91005,              0.0001882,              0.0001882,              0.0001882
                     84,                0.38052,                0.17746,                0.82776,                 0.9906,                0.99308,                0.99391,                0.89202,                0.56828,                0.20877,                0.91769,              0.0001783,              0.0001783,              0.0001783
                     85,                0.38441,                0.17723,                0.83069,                0.99151,                 0.9936,                0.99387,                0.89272,                0.56513,                0.20869,                0.91697,              0.0001684,              0.0001684,              0.0001684
                     86,                0.37754,                0.17487,                0.82451,                0.99032,                0.99331,                0.99398,                0.89456,                0.56525,                0.20897,                0.91527,              0.0001585,              0.0001585,              0.0001585
                     87,                0.37915,                0.17576,                0.82859,                   0.99,                0.99337,                0.99391,                0.89265,                0.56723,                0.20844,                0.91843,              0.0001486,              0.0001486,              0.0001486
                     88,                 0.3813,                0.17679,                0.83014,                 0.9911,                0.99392,                0.99389,                0.89341,                0.56362,                0.20619,                0.92023,              0.0001387,              0.0001387,              0.0001387
                     89,                0.37833,                 0.1738,                0.82983,                0.99102,                0.99362,                0.99374,                0.89321,                0.56339,                0.20656,                0.92115,              0.0001288,              0.0001288,              0.0001288
                     90,                0.37111,                0.17087,                0.82693,                0.99161,                0.99453,                0.99371,                0.89308,                0.56687,                0.20772,                0.92586,              0.0001189,              0.0001189,              0.0001189
                     91,                0.36028,                0.16044,                0.81794,                0.99092,                0.99537,                0.99356,                0.89583,                0.55182,                0.20401,                0.92849,               0.000109,               0.000109,               0.000109
                     92,                0.34884,                0.15677,                0.81116,                0.99121,                0.99439,                0.99381,                0.89599,                0.55194,                0.20236,                0.92967,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.34331,                 0.1547,                0.80898,                0.99155,                0.99453,                0.99385,                 0.8976,                0.54861,                0.20115,                0.92549,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.34326,                 0.1534,                0.81358,                0.99212,                0.99436,                0.99375,                0.89703,                0.54701,                0.20033,                0.92125,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.33897,                 0.1512,                0.80877,                0.99181,                 0.9944,                0.99387,                0.89707,                0.54857,                0.20083,                0.92191,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.33605,                0.15096,                0.81043,                0.99152,                0.99497,                0.99383,                0.89654,                0.54838,                0.20184,                0.92404,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.33557,                0.15048,                0.80966,                0.99152,                0.99502,                0.99382,                0.89773,                0.54787,                0.20063,                0.92326,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.33202,                0.14952,                0.80829,                0.99145,                0.99514,                0.99386,                0.89752,                0.54744,                 0.2008,                 0.9234,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 0.3318,                0.14759,                0.81212,                0.99152,                0.99494,                0.99386,                0.89788,                0.54806,                 0.2015,                0.92432,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.33317,                0.14932,                0.80847,                0.99152,                0.99503,                0.99382,                0.89727,                0.54805,                0.20071,                0.92313,               1.99e-05,               1.99e-05,               1.99e-05
