                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.46728,                 0.2153,                0.85176,                0.98791,                0.99326,                0.99383,                0.89301,                 0.5694,                 0.2179,                0.89191,              0.0005545,              0.0005545,              0.0005545
                     47,                0.46731,                0.21363,                0.85312,                0.98554,                0.99414,                0.99357,                0.89293,                0.55973,                0.21627,                0.89295,              0.0005446,              0.0005446,              0.0005446
                     48,                0.46932,                0.21486,                0.85285,                0.98612,                 0.9936,                0.99382,                0.89061,                0.56644,                0.21593,                0.89383,              0.0005347,              0.0005347,              0.0005347
                     49,                0.46608,                 0.2145,                0.85428,                0.98671,                0.99263,                0.99347,                 0.8923,                0.56366,                   0.22,                0.90548,              0.0005248,              0.0005248,              0.0005248
                     50,                0.46782,                0.21426,                0.85534,                0.99112,                0.99179,                0.99388,                0.89281,                0.56868,                0.21557,                0.90263,              0.0005149,              0.0005149,              0.0005149
                     51,                0.46178,                0.21216,                0.84988,                0.99109,                0.99179,                0.99387,                0.89369,                0.56417,                0.21664,                0.89837,               0.000505,               0.000505,               0.000505
                     52,                0.45834,                0.20933,                0.85215,                 0.9919,                 0.9921,                0.99373,                0.89245,                0.56515,                0.21408,                 0.8918,              0.0004951,              0.0004951,              0.0004951
                     53,                0.45442,                0.20946,                0.84674,                0.99149,                0.99206,                 0.9938,                0.89035,                0.57329,                0.21667,                 0.8875,              0.0004852,              0.0004852,              0.0004852
                     54,                0.45822,                0.21115,                0.84502,                 0.9897,                0.99304,                 0.9937,                0.89551,                0.56753,                0.21584,                 0.8858,              0.0004753,              0.0004753,              0.0004753
                     55,                0.45065,                0.20765,                0.84494,                0.99016,                0.99271,                0.99355,                0.89111,                0.56273,                0.21423,                0.88626,              0.0004654,              0.0004654,              0.0004654
                     56,                0.45126,                0.20762,                0.84636,                0.98851,                0.99404,                0.99356,                0.89237,                0.56783,                0.21503,                0.89801,              0.0004555,              0.0004555,              0.0004555
                     57,                0.44327,                0.20469,                0.84753,                0.98971,                0.99368,                0.99375,                0.89122,                0.56523,                0.21259,                0.90436,              0.0004456,              0.0004456,              0.0004456
                     58,                0.45323,                0.20784,                0.84974,                0.98927,                0.99422,                0.99382,                0.89347,                 0.5578,                0.21164,                0.89926,              0.0004357,              0.0004357,              0.0004357
                     59,                0.44632,                0.20645,                0.84689,                0.99209,                0.99154,                0.99406,                0.89225,                0.56111,                0.21209,                0.90507,              0.0004258,              0.0004258,              0.0004258
                     60,                0.43748,                0.20066,                0.84213,                 0.9912,                0.99234,                0.99377,                0.89313,                0.55812,                0.20943,                0.89986,              0.0004159,              0.0004159,              0.0004159
                     61,                0.44497,                0.20373,                0.84477,                 0.9925,                0.99179,                0.99363,                0.89668,                0.56137,                0.21036,                0.88769,               0.000406,               0.000406,               0.000406
                     62,                0.43625,                0.19961,                0.84467,                0.98865,                0.99453,                0.99366,                0.89164,                0.56742,                0.21228,                0.90221,              0.0003961,              0.0003961,              0.0003961
                     63,                 0.4411,                0.20359,                  0.845,                0.98941,                0.99381,                0.99366,                0.89364,                0.55824,                0.20827,                0.89953,              0.0003862,              0.0003862,              0.0003862
