Image,Point,Latitude,Longitude,Object Type,Coordinates,Confidence Score,Bounding Box Center,Normalized Bounding Box Center
/gdrive/MyDrive/IST.tif,33,41.256719854,28.736034987,plane,"[1547.978515625, 6212.11865234375, 1706.2718505859375, 6388.24169921875]",0.8930271863937378,"[1627.1251831054688, 6300.18017578125]","[0.20793932052466055, 0.9670268880707982]"
/gdrive/MyDrive/IST.tif,34,41.25733695,28.750418358,plane,"[6712.064453125, 5911.38720703125, 6871.53125, 6099.34033203125]",0.8911049365997314,"[6791.7978515625, 6005.36376953125]","[0.8679613867811502, 0.9217749454384113]"
/gdrive/MyDrive/IST.tif,35,41.263311367,28.740307866,plane,"[3079.016357421875, 3056.555419921875, 3243.7802734375, 3245.638916015625]",0.8899974822998047,"[3161.3983154296875, 3151.09716796875]","[0.40401256427216453, 0.48366802271201076]"
/gdrive/MyDrive/IST.tif,36,41.256992961,28.748951321,plane,"[6187.23974609375, 6074.21337890625, 6342.81103515625, 6265.19384765625]",0.8879960179328918,"[6265.025390625, 6169.70361328125]","[0.8006422224440894, 0.9469997871498466]"
/gdrive/MyDrive/IST.tif,37,41.257292638,28.735004314,plane,"[1154.0150146484375, 5930.00732421875, 1360.0626220703125, 6123.0595703125]",0.8857728242874146,"[1257.038818359375, 6026.533447265625]","[0.16064393844848243, 0.9250243203784536]"
/gdrive/MyDrive/IST.tif,38,41.265345822,28.747287022,plane,"[5563.091796875, 2088.567626953125, 5771.7509765625, 2269.71240234375]",0.8857041001319885,"[5667.42138671875, 2179.1400146484375]","[0.7242711037340256, 0.3344804320258538]"
/gdrive/MyDrive/IST.tif,39,41.257090041,28.749946923,plane,"[6533.98486328125, 6025.9404296875, 6711.05224609375, 6220.70751953125]",0.8854243755340576,"[6622.5185546875, 6123.323974609375]","[0.8463282498003195, 0.9398808863560054]"
/gdrive/MyDrive/IST.tif,40,41.257035595,28.737545889,plane,"[2083.698486328125, 6047.6494140625, 2255.5986328125, 6251.021484375]",0.880649745464325,"[2169.6485595703125, 6149.33544921875]","[0.2772713814147364, 0.9438734380995779]"
/gdrive/MyDrive/IST.tif,41,41.265379235,28.737917143,plane,"[2214.62451171875, 2072.165283203125, 2391.286865234375, 2254.188720703125]",0.8796383738517761,"[2302.9556884765625, 2163.177001953125]","[0.29430743622703676, 0.33203023821229855]"
/gdrive/MyDrive/IST.tif,42,41.266056321,28.734836733,plane,"[1108.0067138671875, 1762.5677490234375, 1285.7235107421875, 1916.8336181640625]",0.8783190250396729,"[1196.8651123046875, 1839.70068359375]","[0.15295400796226039, 0.28237923002206444]"
/gdrive/MyDrive/IST.tif,43,41.26371137,28.750400535,plane,"[6711.158203125, 2861.9716796875, 6859.63818359375, 3058.02099609375]",0.8780540823936462,"[6785.398193359375, 2959.996337890625]","[0.8671435390874601, 0.4543355852479854]"
/gdrive/MyDrive/IST.tif,44,41.265204158,28.749631685,plane,"[6419.22314453125, 2161.947265625, 6599.427734375, 2331.6923828125]",0.8773902654647827,"[6509.325439453125, 2246.81982421875]","[0.8318626759684504, 0.34486873740886415]"
/gdrive/MyDrive/IST.tif,45,41.26466331,28.740219061,plane,"[3044.69580078125, 2398.045654296875, 3214.326416015625, 2612.37255859375]",0.8753471970558167,"[3129.5111083984375, 2505.2091064453125]","[0.39993752184005593, 0.3845294100453281]"
/gdrive/MyDrive/IST.tif,46,41.267744772,28.734419195,plane,"[969.2328491210938, 941.8052978515625, 1124.6444091796875, 1124.2867431640625]",0.8740915060043335,"[1046.9386291503906, 1033.0460205078125]","[0.13379407401282947, 0.15856423952537413]"
/gdrive/MyDrive/IST.tif,47,41.263816171,28.735855424,plane,"[1479.8265380859375, 2836.93994140625, 1645.4716796875, 2982.916015625]",0.8736552596092224,"[1562.6491088867188, 2909.927978515625]","[0.19969956663089058, 0.446650495551132]"
/gdrive/MyDrive/IST.tif,48,41.259668692,28.749339702,plane,"[6319.83154296875, 4807.31201171875, 6489.1328125, 4975.44482421875]",0.8727273344993591,"[6404.482177734375, 4891.37841796875]","[0.8184641760682907, 0.7507871708317344]"
/gdrive/MyDrive/IST.tif,49,41.258009801,28.750519703,plane,"[6741.6171875, 5603.802734375, 6914.75927734375, 5764.017578125]",0.8697966933250427,"[6828.188232421875, 5683.91015625]","[0.8726119146865016, 0.8724344061780507]"
/gdrive/MyDrive/IST.tif,50,41.263311152,28.739802686,plane,"[2900.421875, 3045.907958984375, 3059.582275390625, 3256.4921875]",0.8679944276809692,"[2980.0020751953125, 3151.2000732421875]","[0.3808309361271965, 0.48368381784223907]"
